Upload Data final application train|10GB|2020-09-14 09:01:28|2020-09-14 09:01:54|0 days 0 hours 0 minutes 26 seconds|0
Upload Data credit balance Balance|10GB|2020-09-14 09:01:28|2020-09-14 09:01:55|0 days 0 hours 0 minutes 27 seconds|15361252
Upload Data POS cash balance|10GB|2020-09-14 09:01:28|2020-09-14 09:01:56|0 days 0 hours 0 minutes 28 seconds|0
Upload Data previous application|10GB|2020-09-14 09:01:28|2020-09-14 09:01:57|0 days 0 hours 0 minutes 29 seconds|0
Upload Data installments payments|10GB|2020-09-14 09:01:28|2020-09-14 09:01:58|0 days 0 hours 0 minutes 30 seconds|0
Upload Data Bureau Balance|10GB|2020-09-14 09:01:28|2020-09-14 09:02:09|0 days 0 hours 0 minutes 41 seconds|0
Upload Data Bureau|10GB|2020-09-14 09:01:28|2020-09-14 09:02:10|0 days 0 hours 0 minutes 42 seconds|0
OVERALL UPLOAD DATA|10GB|2020-09-14 09:01:28|2020-09-14 09:02:10|0 days 0 hours 0 minutes 42 seconds|0
agg04_pos_cash_balance|10GB|2020-09-14 09:02:10|2020-09-14 09:02:45|0 days 0 hours 0 minutes 35 seconds|0
agg02_credit_card_balance|10GB|2020-09-14 09:02:10|2020-09-14 09:02:50|0 days 0 hours 0 minutes 40 seconds|0
agg01_1_agg_bureau|10GB|2020-09-14 09:02:10|2020-09-14 09:03:42|0 days 0 hours 1 minutes 32 seconds|6865712
agg03_installments_payments|10GB|2020-09-14 09:02:50|2020-09-14 09:03:48|0 days 0 hours 0 minutes 58 seconds|0
agg01_2_agg_bureau_balance|10GB|2020-09-14 09:03:42|2020-09-14 09:04:08|0 days 0 hours 0 minutes 26 seconds|3269580
agg05_previous_application|10GB|2020-09-14 09:02:45|2020-09-14 09:04:49|0 days 0 hours 2 minutes 4 seconds|0
agg01_3_new_bureau_balance|10GB|2020-09-14 09:04:09|2020-09-14 09:05:52|0 days 0 hours 1 minutes 43 seconds|1223244
agg06_final_application_train|10GB|2020-09-14 09:05:53|2020-09-14 09:07:53|0 days 0 hours 2 minutes 0 seconds|0
OVERALL AGGREGATION|10GB|2020-09-14 09:05:53|2020-09-14 09:07:53|0 days 0 hours 5 minutes 43 seconds|0
OVERALL WORKFLOW EXECUTION|10GB|2020-09-14 09:01:28|2020-09-14 09:07:53|0 days 0 hours 6 minutes 25 seconds|0
